symbol,entry_date,exit_date,entry_price,exit_price,size,direction,gross_return,pnl,holding_days,stop_price,profit_target,exit_reason,outcome,breakout_lookback,atr_window,stop_atr,target_atr,max_hold_days,trend_filter,volume_filter,train_start,train_end,test_start,test_end
ARKK,2024-07-08,2024-07-16,46.02,49.2314,2064,LONG,0.06978332402061212,6628.388571428568,9,44.4143,49.2314,profit_target,Successful,20,14,2.0,4.0,20,none,False,2023-04-17,2024-04-16,2024-04-17,2024-07-17
ARKK,2024-10-29,2024-10-31,48.4,46.2243,1962,LONG,-0.044952774498229035,-4268.751428571428,3,46.2243,52.7514,stop_loss,Stop-loss triggered,20,14,2.0,4.0,20,none,False,2023-10-16,2024-10-15,2024-10-16,2025-01-16
ARKK,2024-11-07,2024-11-11,52.22,57.9343,1741,LONG,0.10942714887563607,9948.571428571431,5,49.3629,57.9343,profit_target,Successful,20,14,2.0,4.0,20,none,False,2023-10-16,2024-10-15,2024-10-16,2025-01-16
ARKK,2024-12-03,2024-12-31,58.76,56.77,1708,LONG,-0.03386657590197405,-3398.9199999999914,29,55.3514,65.5771,timeout,Timed out,20,14,2.0,4.0,20,none,False,2023-10-16,2024-10-15,2024-10-16,2025-01-16
ARKK,2025-01-23,2025-02-05,61.5,63.81,1544,LONG,0.03756097560975614,3566.6400000000035,14,57.2571,69.9857,timeout,Successful,20,14,2.0,4.0,10,sma200,False,2024-01-17,2025-01-16,2025-01-17,2025-04-17
ARKK,2025-02-14,2025-02-21,66.01,62.1071,1490,LONG,-0.05912524076438636,-5815.257142857145,8,62.1071,73.8157,stop_loss,Stop-loss triggered,20,14,2.0,4.0,10,sma200,False,2024-01-17,2025-01-16,2025-01-17,2025-04-17
ARKK,2025-05-13,2025-06-10,55.33,63.2814,1716,LONG,0.1437091735302471,13644.65142857143,29,50.3604,63.2814,profit_target,Successful,20,14,2.5,4.0,20,none,False,2024-04-17,2025-04-17,2025-04-21,2025-07-21
ARKK,2025-06-12,2025-06-24,62.87,70.2243,1717,LONG,0.11697607307596176,12627.308571428573,13,58.2736,70.2243,profit_target,Successful,20,14,2.5,4.0,20,none,False,2024-04-17,2025-04-17,2025-04-21,2025-07-21
ARKK,2025-07-10,2025-07-21,73.13,76.81,1640,LONG,0.05032134554902239,6035.200000000012,12,68.4318,80.6471,end_of_sample,Successful,20,14,2.5,4.0,20,none,False,2024-04-17,2025-04-17,2025-04-21,2025-07-21
ARKK,2025-09-15,2025-09-29,79.65,86.03,1192,LONG,0.08010043942247326,7604.959999999995,15,76.46,86.03,profit_target,Successful,20,14,2.0,4.0,20,sma200,False,2024-07-18,2025-07-21,2025-07-22,2025-10-17
ARKK,2025-10-01,2025-10-17,85.64,86.24,1193,LONG,0.007006071929005072,715.7999999999932,17,81.2771,94.3657,end_of_sample,Successful,20,14,2.0,4.0,20,sma200,False,2024-07-18,2025-07-21,2025-07-22,2025-10-17
ARKK,2026-01-14,2026-01-20,83.03,79.8571,1144,LONG,-0.03821338242631747,-3629.748571428568,7,79.8571,89.3757,stop_loss,Stop-loss triggered,20,14,2.0,4.0,20,sma50,False,2024-10-16,2025-10-17,2025-10-20,2026-01-20
